family,model,total_time,method,resolution,gate_proxy,spectral_error,trace_fidelity
TFIM,TFIM_4q_J3.0_h0.5,0.5,prl_cartan_fit,6,25,0.5384215850857283,0.8839481229310565
TFIM,TFIM_4q_J3.0_h0.5,0.5,cartan_qaoa_fit,2,9,0.48178114527212773,0.9314443532648986
TFIM,TFIM_4q_J3.0_h0.5,0.5,cartan_qaoa_fit,4,17,0.48185263413198015,0.9314470718716059
TFIM,TFIM_4q_J3.0_h0.5,0.5,cartan_qaoa_fit,6,25,0.3613896718192356,0.9406072468356301
TFIM,TFIM_4q_J3.0_h0.5,1.0,trotter1,2,4,0.7748670243909727,0.7591250998041991
TFIM,TFIM_4q_J3.0_h0.5,1.0,trotter1,4,8,0.15180901527274496,0.9924859733540672
TFIM,TFIM_4q_J3.0_h0.5,1.0,trotter1,6,12,0.09176271002322521,0.9972496077607541
TFIM,TFIM_4q_J3.0_h0.5,1.0,suzuki2,2,6,0.6982954300468313,0.7922145380079173
TFIM,TFIM_4q_J3.0_h0.5,1.0,suzuki2,4,12,0.06180538823225523,0.998604934063638
TFIM,TFIM_4q_J3.0_h0.5,1.0,suzuki2,6,18,0.02510528414105992,0.999772449838893
TFIM,TFIM_4q_J3.0_h0.5,1.0,cartan_restricted,2,6,0.7122438628435646,0.7797423481352183
TFIM,TFIM_4q_J3.0_h0.5,1.0,cartan_restricted,4,12,0.7122438628435653,0.779742348135219
TFIM,TFIM_4q_J3.0_h0.5,1.0,cartan_restricted,6,18,0.7122438628435666,0.7797423481352196
TFIM,TFIM_4q_J3.0_h0.5,1.0,lc_qaoa,2,6,1.8398846485933276,0.05193495564315134
TFIM,TFIM_4q_J3.0_h0.5,1.0,lc_qaoa,4,12,0.3057044008855137,0.9640310151195361
TFIM,TFIM_4q_J3.0_h0.5,1.0,lc_qaoa,6,18,0.11186514478884864,0.9953524413920729
TFIM,TFIM_4q_J3.0_h0.5,1.0,alt_qaoa_fit,2,4,0.6457133169503787,0.8900532942482825
TFIM,TFIM_4q_J3.0_h0.5,1.0,alt_qaoa_fit,4,8,0.04311188352674122,0.9994724144911686
TFIM,TFIM_4q_J3.0_h0.5,1.0,alt_qaoa_fit,6,12,0.0112001302710643,0.9999541337625377
TFIM,TFIM_4q_J3.0_h0.5,1.0,prl_cartan_fit,2,9,0.95735321757341,0.6453302839097668
TFIM,TFIM_4q_J3.0_h0.5,1.0,prl_cartan_fit,4,17,0.9572953420300164,0.6453713812665841
TFIM,TFIM_4q_J3.0_h0.5,1.0,prl_cartan_fit,6,25,0.9979665690903348,0.6170403169108659
TFIM,TFIM_4q_J3.0_h0.5,1.0,cartan_qaoa_fit,2,9,0.6943591687541487,0.7817540587727311
TFIM,TFIM_4q_J3.0_h0.5,1.0,cartan_qaoa_fit,4,17,0.694332843460426,0.7817612549670026
TFIM,TFIM_4q_J3.0_h0.5,1.0,cartan_qaoa_fit,6,25,0.710045328688916,0.7807339389021707
TFIM,TFIM_4q_J3.0_h0.5,1.5,trotter1,2,4,1.2539463059520919,0.462470872428038
TFIM,TFIM_4q_J3.0_h0.5,1.5,trotter1,4,8,0.560462744907502,0.8903398140396299
TFIM,TFIM_4q_J3.0_h0.5,1.5,trotter1,6,12,0.3041264179458193,0.9641951873492792
TFIM,TFIM_4q_J3.0_h0.5,1.5,suzuki2,2,6,0.9888638734026978,0.6968635448069663
TFIM,TFIM_4q_J3.0_h0.5,1.5,suzuki2,4,12,0.28893557108368306,0.9691613941832398
TFIM,TFIM_4q_J3.0_h0.5,1.5,suzuki2,6,18,0.09804035918594442,0.9964558304879989
TFIM,TFIM_4q_J3.0_h0.5,1.5,cartan_restricted,2,6,1.137876399088971,0.54967011770347
TFIM,TFIM_4q_J3.0_h0.5,1.5,cartan_restricted,4,12,1.1378763990889726,0.5496701177034705
